الجنسية,المحافظة,المدينة,المنطقة,النوع,السكان
سعودي,قلوة,الجميل,الباحة,أنثى,26
سعودي,قلوة,الجميل,الباحة,ذكر,24
سعودي,ميسان,الجميله,مكة المكرمة,أنثى,4
سعودي,ميسان,الجميله,مكة المكرمة,ذكر,4
سعودي,الليث,الجميليه,مكة المكرمة,أنثى,11
سعودي,الليث,الجميليه,مكة المكرمة,ذكر,8
سعودي,عفيف,الجميماء,الرياض,أنثى,39
سعودي,المهد,الجميماء,المدينة المنورة,أنثى,18
سعودي,عفيف,الجميماء,الرياض,ذكر,49
سعودي,المهد,الجميماء,المدينة المنورة,ذكر,28
غير سعودي,المهد,الجميماء,المدينة المنورة,ذكر,7
سعودي,العرضيات,الجميمان,مكة المكرمة,أنثى,14
سعودي,العرضيات,الجميمان,مكة المكرمة,ذكر,10
سعودي,العارضة,الجميمه,جازان,أنثى,26
سعودي,العارضة,الجميمه,جازان,ذكر,26
سعودي,الحجرة,الجناب,الباحة,أنثى,3
سعودي,ميسان,الجناب,مكة المكرمة,أنثى,4
سعودي,ميسان,الجناب,مكة المكرمة,ذكر,4
سعودي,الدوادمي,الجناب (العيديه),الرياض,أنثى,44
سعودي,الدوادمي,الجناب (العيديه),الرياض,ذكر,46
غير سعودي,الدوادمي,الجناب (العيديه),الرياض,ذكر,106
سعودي,بلجرشي,الجنابين,الباحة,أنثى,189
سعودي,بلجرشي,الجنابين,الباحة,ذكر,168
غير سعودي,بلجرشي,الجنابين,الباحة,ذكر,21
سعودي,العرضيات,الجناح,مكة المكرمة,أنثى,48
سعودي,العرضيات,الجناح,مكة المكرمة,ذكر,41
غير سعودي,العرضيات,الجناح,مكة المكرمة,ذكر,3
سعودي,ميسان,الجناحين,مكة المكرمة,أنثى,24
سعودي,ميسان,الجناحين,مكة المكرمة,ذكر,21
سعودي,الا مواة,الجنادل,عسير,أنثى,11
سعودي,الا مواة,الجنادل,عسير,ذكر,25
غير سعودي,الا مواة,الجنادل,عسير,ذكر,4
سعودي,ابها (مقر الإمارة),الجنب,عسير,أنثى,9
سعودي,ابها (مقر الإمارة),الجنب,عسير,ذكر,13
سعودي,الكامل,الجندبيه,مكة المكرمة,أنثى,40
سعودي,الكامل,الجندبيه,مكة المكرمة,ذكر,27
غير سعودي,الكامل,الجندبيه,مكة المكرمة,ذكر,7
سعودي,قلوة,الجندل,الباحة,أنثى,5
سعودي,المجاردة,الجندل,عسير,أنثى,84
سعودي,القنفذة,الجندل,مكة المكرمة,أنثى,94
سعودي,قلوة,الجندل,الباحة,ذكر,4
سعودي,المجاردة,الجندل,عسير,ذكر,86
غير سعودي,المجاردة,الجندل,عسير,ذكر,3
سعودي,القنفذة,الجندل,مكة المكرمة,ذكر,83
غير سعودي,القنفذة,الجندل,مكة المكرمة,ذكر,4
سعودي,الحجرة,الجندله,الباحة,أنثى,3
سعودي,محايل,الجندله,عسير,أنثى,79
سعودي,أضم,الجندله,مكة المكرمة,أنثى,77
سعودي,الحجرة,الجندله,الباحة,ذكر,3
سعودي,محايل,الجندله,عسير,ذكر,68
سعودي,أضم,الجندله,مكة المكرمة,ذكر,62
سعودي,ابها (مقر الإمارة),الجندى وال مخلد,عسير,أنثى,29
سعودي,ابها (مقر الإمارة),الجندى وال مخلد,عسير,ذكر,19
غير سعودي,ابها (مقر الإمارة),الجندى وال مخلد,عسير,ذكر,12
سعودي,ابها (مقر الإمارة),الجنفور,عسير,أنثى,126
غير سعودي,ابها (مقر الإمارة),الجنفور,عسير,أنثى,12
سعودي,ابها (مقر الإمارة),الجنفور,عسير,ذكر,164
غير سعودي,ابها (مقر الإمارة),الجنفور,عسير,ذكر,5287
سعودي,القويعية,الجنوبية,الرياض,أنثى,64
سعودي,القويعية,الجنوبية,الرياض,ذكر,52
غير سعودي,القويعية,الجنوبية,الرياض,ذكر,8
سعودي,المجمعة,الجنوبية بسدير,الرياض,أنثى,144
غير سعودي,المجمعة,الجنوبية بسدير,الرياض,أنثى,11
سعودي,المجمعة,الجنوبية بسدير,الرياض,ذكر,174
غير سعودي,المجمعة,الجنوبية بسدير,الرياض,ذكر,12
سعودي,الدائر,الجنيب,جازان,أنثى,11
سعودي,الدائر,الجنيب,جازان,ذكر,15
سعودي,ابها (مقر الإمارة),الجنيبه,عسير,أنثى,81
سعودي,ابها (مقر الإمارة),الجنيبه,عسير,ذكر,85
غير سعودي,ابها (مقر الإمارة),الجنيبه,عسير,ذكر,10
سعودي,البرك,الجنية والـمفجر,عسير,أنثى,33
سعودي,البرك,الجنية والـمفجر,عسير,ذكر,43
غير سعودي,البرك,الجنية والـمفجر,عسير,ذكر,3
سعودي,أضم,الجنيدل,مكة المكرمة,أنثى,12
سعودي,أضم,الجنيدل,مكة المكرمة,ذكر,10
سعودي,البرك,الجنيدله,عسير,أنثى,16
سعودي,البرك,الجنيدله,عسير,ذكر,20
سعودي,المجمعة,الجنيفى,الرياض,أنثى,32
غير سعودي,المجمعة,الجنيفى,الرياض,أنثى,4
سعودي,المجمعة,الجنيفى,الرياض,ذكر,40
غير سعودي,المجمعة,الجنيفى,الرياض,ذكر,8
سعودي,الافلاج,الجنينه,الرياض,أنثى,6
سعودي,بيشة,الجنينه,عسير,أنثى,908
غير سعودي,بيشة,الجنينه,عسير,أنثى,24
سعودي,الافلاج,الجنينه,الرياض,ذكر,6
سعودي,بيشة,الجنينه,عسير,ذكر,847
غير سعودي,بيشة,الجنينه,عسير,ذكر,91
سعودي,ميسان,الجهالين,مكة المكرمة,أنثى,6
سعودي,ميسان,الجهالين,مكة المكرمة,ذكر,12
غير سعودي,ميسان,الجهالين,مكة المكرمة,ذكر,7
سعودي,محايل,الجهايف,عسير,أنثى,137
غير سعودي,محايل,الجهايف,عسير,أنثى,5
سعودي,محايل,الجهايف,عسير,ذكر,140
غير سعودي,محايل,الجهايف,عسير,ذكر,71
سعودي,ابها (مقر الإمارة),الجهايف (آل مبره),عسير,أنثى,3
سعودي,ابها (مقر الإمارة),الجهايف (آل مبره),عسير,ذكر,14
سعودي,خميس  مشيط,الجهراء,عسير,أنثى,105
سعودي,رجال المع,الجهراء,عسير,أنثى,123
غير سعودي,رجال المع,الجهراء,عسير,أنثى,7
سعودي,طريب,الجهراء,عسير,أنثى,307
غير سعودي,طريب,الجهراء,عسير,أنثى,10
سعودي,خميس  مشيط,الجهراء,عسير,ذكر,103
غير سعودي,خميس  مشيط,الجهراء,عسير,ذكر,34
سعودي,رجال المع,الجهراء,عسير,ذكر,113
غير سعودي,رجال المع,الجهراء,عسير,ذكر,74
سعودي,طريب,الجهراء,عسير,ذكر,281
غير سعودي,طريب,الجهراء,عسير,ذكر,53
سعودي,تيماء,الجهراء القديمه,تبوك,أنثى,231
سعودي,تيماء,الجهراء القديمه,تبوك,ذكر,219
غير سعودي,تيماء,الجهراء القديمه,تبوك,ذكر,15
سعودي,ابو عريش,الجهفاء,جازان,أنثى,38
سعودي,ابو عريش,الجهفاء,جازان,ذكر,36
سعودي,المخواة,الجهلان,الباحة,أنثى,51
سعودي,المخواة,الجهلان,الباحة,ذكر,56
غير سعودي,المخواة,الجهلان,الباحة,ذكر,5
غير سعودي,الحجرة,الجهله,الباحة,ذكر,27
سعودي,بيشة,الجهليه,عسير,أنثى,45
سعودي,بيشة,الجهليه,عسير,ذكر,38
غير سعودي,بيشة,الجهليه,عسير,ذكر,89
سعودي,بني حسن,الجهمه,الباحة,أنثى,40
سعودي,سراة عبيدة,الجهمه,عسير,أنثى,44
سعودي,بني حسن,الجهمه,الباحة,ذكر,36
غير سعودي,بني حسن,الجهمه,الباحة,ذكر,4
سعودي,سراة عبيدة,الجهمه,عسير,ذكر,32
غير سعودي,سراة عبيدة,الجهمه,عسير,ذكر,5
سعودي,ضمد,الجهو,جازان,أنثى,440
غير سعودي,ضمد,الجهو,جازان,أنثى,10
سعودي,القنفذة,الجهو,مكة المكرمة,أنثى,63
سعودي,ضمد,الجهو,جازان,ذكر,419
غير سعودي,ضمد,الجهو,جازان,ذكر,39
سعودي,القنفذة,الجهو,مكة المكرمة,ذكر,75
غير سعودي,القنفذة,الجهو,مكة المكرمة,ذكر,11
سعودي,الحرجة,الجهوات,عسير,أنثى,4
سعودي,الحرجة,الجهوات,عسير,ذكر,4
سعودي,بالقرن,الجهوم الرهطيه,عسير,أنثى,65
غير سعودي,بالقرن,الجهوم الرهطيه,عسير,أنثى,6
سعودي,بالقرن,الجهوم الرهطيه,عسير,ذكر,57
غير سعودي,بالقرن,الجهوم الرهطيه,عسير,ذكر,134
سعودي,أضم,الجهوه,مكة المكرمة,أنثى,13
سعودي,بحرة,الجهوه,مكة المكرمة,أنثى,13
غير سعودي,بحرة,الجهوه,مكة المكرمة,أنثى,6
سعودي,أضم,الجهوه,مكة المكرمة,ذكر,18
غير سعودي,الليث,الجهوه,مكة المكرمة,ذكر,3
سعودي,بحرة,الجهوه,مكة المكرمة,ذكر,20
غير سعودي,بحرة,الجهوه,مكة المكرمة,ذكر,23
سعودي,بدر,الجهيانه,المدينة المنورة,أنثى,4
سعودي,ابها (مقر الإمارة),الجهيفه,عسير,أنثى,21
سعودي,ابها (مقر الإمارة),الجهيفه,عسير,ذكر,17
غير سعودي,ابها (مقر الإمارة),الجهيفه,عسير,ذكر,4
سعودي,الوجة,الجو,تبوك,أنثى,223
غير سعودي,الوجة,الجو,تبوك,أنثى,3
سعودي,المجاردة,الجو,عسير,أنثى,20
غير سعودي,ثادق,الجو,الرياض,ذكر,6
سعودي,الوجة,الجو,تبوك,ذكر,184
غير سعودي,الوجة,الجو,تبوك,ذكر,10
سعودي,المجاردة,الجو,عسير,ذكر,23
سعودي,ابها (مقر الإمارة),الجو والدهنا,عسير,أنثى,22
سعودي,ابها (مقر الإمارة),الجو والدهنا,عسير,ذكر,14
سعودي,هروب,الجوا ين,جازان,أنثى,125
سعودي,هروب,الجوا ين,جازان,ذكر,129
سعودي,بدر,الجوابره,المدينة المنورة,أنثى,29
سعودي,صبياء,الجوابره,جازان,أنثى,30
غير سعودي,صبياء,الجوابره,جازان,أنثى,38
سعودي,القنفذة,الجوابره,مكة المكرمة,أنثى,152
سعودي,بدر,الجوابره,المدينة المنورة,ذكر,21
سعودي,صبياء,الجوابره,جازان,ذكر,20
غير سعودي,صبياء,الجوابره,جازان,ذكر,69
سعودي,القنفذة,الجوابره,مكة المكرمة,ذكر,117
سعودي,المخواة,الجوار,الباحة,أنثى,38
سعودي,قلوة,الجوار,الباحة,أنثى,9
سعودي,الدائر,الجوار,جازان,أنثى,6
سعودي,العارضة,الجوار,جازان,أنثى,29
غير سعودي,العارضة,الجوار,جازان,أنثى,3
سعودي,البرك,الجوار,عسير,أنثى,42
سعودي,المخواة,الجوار,الباحة,ذكر,26
غير سعودي,المخواة,الجوار,الباحة,ذكر,3
سعودي,قلوة,الجوار,الباحة,ذكر,7
سعودي,العارضة,الجوار,جازان,ذكر,23
غير سعودي,العارضة,الجوار,جازان,ذكر,3
سعودي,البرك,الجوار,عسير,ذكر,46
غير سعودي,البرك,الجوار,عسير,ذكر,3
غير سعودي,السليل,الجوب,الرياض,ذكر,9
سعودي,وادى الدواسر,الجوبه,الرياض,أنثى,623
غير سعودي,وادى الدواسر,الجوبه,الرياض,أنثى,6
سعودي,سراة عبيدة,الجوبه,عسير,أنثى,34
سعودي,رابغ,الجوبه,مكة المكرمة,أنثى,353
غير سعودي,رابغ,الجوبه,مكة المكرمة,أنثى,9
سعودي,وادى الدواسر,الجوبه,الرياض,ذكر,630
غير سعودي,وادى الدواسر,الجوبه,الرياض,ذكر,63
سعودي,سراة عبيدة,الجوبه,عسير,ذكر,39
غير سعودي,سراة عبيدة,الجوبه,عسير,ذكر,11
سعودي,رابغ,الجوبه,مكة المكرمة,ذكر,307
غير سعودي,رابغ,الجوبه,مكة المكرمة,ذكر,84
سعودي,العارضة,الجوة,جازان,أنثى,11
سعودي,العارضة,الجوة,جازان,ذكر,11
سعودي,الدائر,الجور,جازان,ذكر,5
سعودي,رجال المع,الجوز الاسفل,عسير,أنثى,57
سعودي,رجال المع,الجوز الاسفل,عسير,ذكر,40
سعودي,رجال المع,الجوز الاعلى,عسير,أنثى,48
سعودي,رجال المع,الجوز الاعلى,عسير,ذكر,49
غير سعودي,رجال المع,الجوز الاعلى,عسير,ذكر,6
سعودي,ثار,الجوشن,نجران,أنثى,19
سعودي,ثار,الجوشن,نجران,ذكر,17
غير سعودي,ثار,الجوشن,نجران,ذكر,4
سعودي,البرك,الجوشه,عسير,أنثى,3
سعودي,البرك,الجوشه,عسير,ذكر,5
سعودي,المخواة,الجوف,الباحة,أنثى,28
غير سعودي,المخواة,الجوف,الباحة,أنثى,3
غير سعودي,الحرث,الجوف,جازان,أنثى,10
سعودي,هروب,الجوف,جازان,أنثى,70
غير سعودي,هروب,الجوف,جازان,أنثى,14
سعودي,ثار,الجوف,نجران,أنثى,10
سعودي,المخواة,الجوف,الباحة,ذكر,40
غير سعودي,المخواة,الجوف,الباحة,ذكر,3
غير سعودي,الحرث,الجوف,جازان,ذكر,19
سعودي,هروب,الجوف,جازان,ذكر,81
غير سعودي,هروب,الجوف,جازان,ذكر,22
سعودي,ثار,الجوف,نجران,ذكر,11
غير سعودي,ثار,الجوف,نجران,ذكر,3
سعودي,محايل,الجوف ( قرن الثوير),عسير,أنثى,67
سعودي,محايل,الجوف ( قرن الثوير),عسير,ذكر,71
سعودي,هروب,الجوف الاسفل,جازان,أنثى,134
غير سعودي,هروب,الجوف الاسفل,جازان,أنثى,35
سعودي,هروب,الجوف الاسفل,جازان,ذكر,136
غير سعودي,هروب,الجوف الاسفل,جازان,ذكر,53
سعودي,هروب,الجوف الاعلى,جازان,أنثى,78
غير سعودي,هروب,الجوف الاعلى,جازان,أنثى,17
سعودي,هروب,الجوف الاعلى,جازان,ذكر,71
غير سعودي,هروب,الجوف الاعلى,جازان,ذكر,21
سعودي,البرك,الجوف الشمالي,عسير,أنثى,42
سعودي,البرك,الجوف الشمالي,عسير,ذكر,48
سعودي,بني حسن,الجوفاء,الباحة,أنثى,248
غير سعودي,بني حسن,الجوفاء,الباحة,أنثى,13
سعودي,هروب,الجوفاء,جازان,أنثى,69
غير سعودي,هروب,الجوفاء,جازان,أنثى,4
سعودي,العرضيات,الجوفاء,مكة المكرمة,أنثى,12
سعودي,بني حسن,الجوفاء,الباحة,ذكر,220
غير سعودي,بني حسن,الجوفاء,الباحة,ذكر,9
سعودي,هروب,الجوفاء,جازان,ذكر,73
غير سعودي,هروب,الجوفاء,جازان,ذكر,16
سعودي,العرضيات,الجوفاء,مكة المكرمة,ذكر,22
غير سعودي,العرضيات,الجوفاء,مكة المكرمة,ذكر,4
غير سعودي,رابغ,الجوفه,مكة المكرمة,ذكر,13
سعودي,بالقرن,الجوماء,عسير,أنثى,35
سعودي,بالقرن,الجوماء,عسير,ذكر,23
غير سعودي,بالقرن,الجوماء,عسير,ذكر,3
سعودي,ميسان,الجومان,مكة المكرمة,أنثى,15
غير سعودي,ميسان,الجومان,مكة المكرمة,أنثى,31
سعودي,ميسان,الجومان,مكة المكرمة,ذكر,27
غير سعودي,ميسان,الجومان,مكة المكرمة,ذكر,160
سعودي,المخواة,الجوه,الباحة,أنثى,140
غير سعودي,المخواة,الجوه,الباحة,أنثى,3
سعودي,الريث,الجوه,جازان,أنثى,32
سعودي,العيدابي,الجوه,جازان,أنثى,9
سعودي,المجاردة,الجوه,عسير,أنثى,10
سعودي,محايل,الجوه,عسير,أنثى,46
سعودي,العرضيات,الجوه,مكة المكرمة,أنثى,32
سعودي,المخواة,الجوه,الباحة,ذكر,125
غير سعودي,المخواة,الجوه,الباحة,ذكر,40
سعودي,الريث,الجوه,جازان,ذكر,34
غير سعودي,الريث,الجوه,جازان,ذكر,3
سعودي,العيدابي,الجوه,جازان,ذكر,8
سعودي,المجاردة,الجوه,عسير,ذكر,15
سعودي,محايل,الجوه,عسير,ذكر,53
سعودي,العرضيات,الجوه,مكة المكرمة,ذكر,29
غير سعودي,العرضيات,الجوه,مكة المكرمة,ذكر,3
سعودي,بيشة,الجوه ( العليا والسفلى),عسير,أنثى,146
سعودي,بيشة,الجوه ( العليا والسفلى),عسير,ذكر,150
غير سعودي,بيشة,الجوه ( العليا والسفلى),عسير,ذكر,9
سعودي,فيفا,الجوه الشراحيلي وهيئة التطوير,جازان,أنثى,260
غير سعودي,فيفا,الجوه الشراحيلي وهيئة التطوير,جازان,أنثى,40
سعودي,فيفا,الجوه الشراحيلي وهيئة التطوير,جازان,ذكر,254
غير سعودي,فيفا,الجوه الشراحيلي وهيئة التطوير,جازان,ذكر,153
سعودي,الخرمة,الجوهريه (الخبراء),مكة المكرمة,أنثى,96
غير سعودي,الخرمة,الجوهريه (الخبراء),مكة المكرمة,أنثى,3
سعودي,الخرمة,الجوهريه (الخبراء),مكة المكرمة,ذكر,110
غير سعودي,الخرمة,الجوهريه (الخبراء),مكة المكرمة,ذكر,7
سعودي,الزلفي,الجوى,الرياض,أنثى,15
سعودي,الزلفي,الجوى,الرياض,ذكر,9
سعودي,الدوادمي,الجويات ومزارع شرق الارطاوي,الرياض,أنثى,3
سعودي,الدوادمي,الجويات ومزارع شرق الارطاوي,الرياض,ذكر,3
غير سعودي,الدوادمي,الجويات ومزارع شرق الارطاوي,الرياض,ذكر,9
سعودي,الليث,الجويذيه,مكة المكرمة,أنثى,41
سعودي,الليث,الجويذيه,مكة المكرمة,ذكر,33
غير سعودي,الدرب,الجوير,جازان,ذكر,3
سعودي,الطائف,الجويره,مكة المكرمة,أنثى,30
سعودي,الطائف,الجويره,مكة المكرمة,ذكر,24
سعودي,الافلاج,الجويفاء,الرياض,أنثى,4
سعودي,الافلاج,الجويفاء,الرياض,ذكر,6
غير سعودي,الافلاج,الجويفاء,الرياض,ذكر,7
سعودي,هروب,الجوين,جازان,أنثى,85
غير سعودي,هروب,الجوين,جازان,أنثى,15
سعودي,هروب,الجوين,جازان,ذكر,83
غير سعودي,هروب,الجوين,جازان,ذكر,18
سعودي,أضم,الجويني,مكة المكرمة,أنثى,26
غير سعودي,أضم,الجويني,مكة المكرمة,أنثى,602
سعودي,أضم,الجويني,مكة المكرمة,ذكر,36
غير سعودي,أضم,الجويني,مكة المكرمة,ذكر,611
سعودي,بقيق,الجويه,المنطقة الشرقية,أنثى,93
غير سعودي,بقيق,الجويه,المنطقة الشرقية,أنثى,5
سعودي,بقيق,الجويه,المنطقة الشرقية,ذكر,106
غير سعودي,بقيق,الجويه,المنطقة الشرقية,ذكر,610
سعودي,المهد,الجياسر,المدينة المنورة,أنثى,149
سعودي,المهد,الجياسر,المدينة المنورة,ذكر,155
غير سعودي,المهد,الجياسر,المدينة المنورة,ذكر,10
سعودي,صامطة,الجيانيه السفلى,جازان,أنثى,576
سعودي,صامطة,الجيانيه السفلى,جازان,ذكر,632
غير سعودي,صامطة,الجيانيه السفلى,جازان,ذكر,57
سعودي,صامطة,الجيانيه العليا,جازان,أنثى,78
غير سعودي,صامطة,الجيانيه العليا,جازان,أنثى,19
سعودي,صامطة,الجيانيه العليا,جازان,ذكر,53
غير سعودي,صامطة,الجيانيه العليا,جازان,ذكر,52
سعودي,الكامل,الجيب,مكة المكرمة,أنثى,22
سعودي,الكامل,الجيب,مكة المكرمة,ذكر,23
غير سعودي,الكامل,الجيب,مكة المكرمة,ذكر,5
سعودي,ابو عريش,الجيبه,جازان,أنثى,97
غير سعودي,ابو عريش,الجيبه,جازان,أنثى,4
سعودي,ابو عريش,الجيبه,جازان,ذكر,97
غير سعودي,ابو عريش,الجيبه,جازان,ذكر,13
سعودي,الجموم,الجيشى,مكة المكرمة,أنثى,64
سعودي,الجموم,الجيشى,مكة المكرمة,ذكر,54
سعودي,قلوة,الجيف,الباحة,أنثى,5
سعودي,قلوة,الجيف,الباحة,ذكر,9
سعودي,القنفذة,الجيهه,مكة المكرمة,أنثى,64
سعودي,القنفذة,الجيهه,مكة المكرمة,ذكر,61
غير سعودي,القنفذة,الجيهه,مكة المكرمة,ذكر,7
سعودي,الرياض (مقر الامارة),الحائر,الرياض,أنثى,5350
غير سعودي,الرياض (مقر الامارة),الحائر,الرياض,أنثى,738
سعودي,الرياض (مقر الامارة),الحائر,الرياض,ذكر,5530
غير سعودي,الرياض (مقر الامارة),الحائر,الرياض,ذكر,2333
سعودي,تربة,الحائريه,مكة المكرمة,أنثى,733
غير سعودي,تربة,الحائريه,مكة المكرمة,أنثى,37
سعودي,تربة,الحائريه,مكة المكرمة,ذكر,702
غير سعودي,تربة,الحائريه,مكة المكرمة,ذكر,230
سعودي,العقيق,الحائط,الباحة,أنثى,22
سعودي,المخواة,الحائط,الباحة,أنثى,52
سعودي,الحائط,الحائط,حائل,أنثى,2921
غير سعودي,الحائط,الحائط,حائل,أنثى,508
سعودي,العقيق,الحائط,الباحة,ذكر,24
سعودي,المخواة,الحائط,الباحة,ذكر,49
غير سعودي,المخواة,الحائط,الباحة,ذكر,9
سعودي,الحائط,الحائط,حائل,ذكر,2620
غير سعودي,الحائط,الحائط,حائل,ذكر,2240
سعودي,المجاردة,الحائط (ال ثيبه),عسير,أنثى,23
سعودي,المجاردة,الحائط (ال ثيبه),عسير,ذكر,17
غير سعودي,المجاردة,الحائط (ال ثيبه),عسير,ذكر,5
سعودي,الطائف,الحائط والعتام,مكة المكرمة,أنثى,7
سعودي,الطائف,الحائط والعتام,مكة المكرمة,ذكر,9
سعودي,املج,الحائل,تبوك,أنثى,285
سعودي,املج,الحائل,تبوك,ذكر,264
غير سعودي,املج,الحائل,تبوك,ذكر,3
سعودي,محايل,الحابس وظلال,عسير,أنثى,7
سعودي,محايل,الحابس وظلال,عسير,ذكر,9
سعودي,الدائر,الحاثره,جازان,أنثى,20
سعودي,الدائر,الحاثره,جازان,ذكر,16
سعودي,القنفذة,الحاج,مكة المكرمة,أنثى,11
سعودي,القنفذة,الحاج,مكة المكرمة,ذكر,13
سعودي,المخواة,الحاجب,الباحة,أنثى,36
غير سعودي,المخواة,الحاجب,الباحة,أنثى,3
سعودي,الحرجة,الحاجب,عسير,أنثى,117
سعودي,النماص,الحاجب,عسير,أنثى,13
سعودي,رجال المع,الحاجب,عسير,أنثى,46
سعودي,محايل,الحاجب,عسير,أنثى,280
غير سعودي,محايل,الحاجب,عسير,أنثى,11
سعودي,القنفذة,الحاجب,مكة المكرمة,أنثى,102
سعودي,المخواة,الحاجب,الباحة,ذكر,34
سعودي,الحرجة,الحاجب,عسير,ذكر,97
سعودي,النماص,الحاجب,عسير,ذكر,11
غير سعودي,النماص,الحاجب,عسير,ذكر,32
سعودي,رجال المع,الحاجب,عسير,ذكر,44
غير سعودي,رجال المع,الحاجب,عسير,ذكر,13
سعودي,محايل,الحاجب,عسير,ذكر,274
غير سعودي,محايل,الحاجب,عسير,ذكر,57
سعودي,القنفذة,الحاجب,مكة المكرمة,ذكر,87
غير سعودي,القنفذة,الحاجب,مكة المكرمة,ذكر,5
سعودي,نجران (مقر الامارة),الحاجب الحمر,نجران,أنثى,102
سعودي,نجران (مقر الامارة),الحاجب الحمر,نجران,ذكر,109
غير سعودي,نجران (مقر الامارة),الحاجب الحمر,نجران,ذكر,18
سعودي,ظهران الجنوب,الحاجر,عسير,أنثى,126
غير سعودي,ظهران الجنوب,الحاجر,عسير,أنثى,6
سعودي,الطائف,الحاجر,مكة المكرمة,أنثى,15
سعودي,ظهران الجنوب,الحاجر,عسير,ذكر,125
غير سعودي,ظهران الجنوب,الحاجر,عسير,ذكر,18
سعودي,الطائف,الحاجر,مكة المكرمة,ذكر,25
سعودي,أضم,الحاجر والنخلة,مكة المكرمة,أنثى,36
سعودي,أضم,الحاجر والنخلة,مكة المكرمة,ذكر,24
سعودي,بيشة,الحاجون,عسير,أنثى,129
غير سعودي,بيشة,الحاجون,عسير,أنثى,4
سعودي,بيشة,الحاجون,عسير,ذكر,130
غير سعودي,بيشة,الحاجون,عسير,ذكر,36
سعودي,الدوادمي,الحار,الرياض,أنثى,13
سعودي,المدينة المنورة (مقر الامارة),الحار,المدينة المنورة,أنثى,19
سعودي,بدر,الحار,المدينة المنورة,أنثى,9
سعودي,الدوادمي,الحار,الرياض,ذكر,15
سعودي,المدينة المنورة (مقر الامارة),الحار,المدينة المنورة,ذكر,15
غير سعودي,المدينة المنورة (مقر الامارة),الحار,المدينة المنورة,ذكر,4
سعودي,بدر,الحار,المدينة المنورة,ذكر,6
غير سعودي,بدر,الحار,المدينة المنورة,ذكر,11
سعودي,الحائط,الحارة الأولى,حائل,أنثى,87
سعودي,الحائط,الحارة الأولى,حائل,ذكر,97
غير سعودي,الحائط,الحارة الأولى,حائل,ذكر,16
سعودي,الحائط,الحارة الثالثة,حائل,أنثى,45
سعودي,الحائط,الحارة الثالثة,حائل,ذكر,39
سعودي,سميراء,الحارة الشمالية,حائل,أنثى,7
سعودي,سميراء,الحارة الشمالية,حائل,ذكر,7
غير سعودي,سميراء,الحارة الشمالية,حائل,ذكر,3
غير سعودي,عيون الجواء,الحارة الغربية,القصيم,ذكر,5
سعودي,المخواة,الحارث,الباحة,أنثى,56
سعودي,المخواة,الحارث,الباحة,ذكر,43
غير سعودي,المخواة,الحارث,الباحة,ذكر,7
سعودي,وادي الفرع,الحارش,المدينة المنورة,أنثى,21
سعودي,وادي الفرع,الحارش,المدينة المنورة,ذكر,18
غير سعودي,وادي الفرع,الحارش,المدينة المنورة,ذكر,4
سعودي,قلوة,الحارك,الباحة,أنثى,4
سعودي,قلوة,الحارك,الباحة,ذكر,5
سعودي,المخواة,الحاره,الباحة,أنثى,34
سعودي,بقيق,الحاره,المنطقة الشرقية,أنثى,43
غير سعودي,بقيق,الحاره,المنطقة الشرقية,أنثى,4
سعودي,المخواة,الحاره,الباحة,ذكر,21
سعودي,بقيق,الحاره,المنطقة الشرقية,ذكر,32
غير سعودي,بقيق,الحاره,المنطقة الشرقية,ذكر,3
سعودي,الدائر,الحازة,جازان,أنثى,10
سعودي,الدائر,الحازة,جازان,ذكر,13
سعودي,القرى,الحازم,الباحة,أنثى,39
غير سعودي,القرى,الحازم,الباحة,أنثى,3
سعودي,القرى,الحازم,الباحة,ذكر,36
غير سعودي,القرى,الحازم,الباحة,ذكر,19
سعودي,القرى,الحازم الاعلى والاسفل,الباحة,أنثى,84
سعودي,القرى,الحازم الاعلى والاسفل,الباحة,ذكر,72
غير سعودي,القرى,الحازم الاعلى والاسفل,الباحة,ذكر,24
سعودي,بيشة,الحازمى,عسير,أنثى,221
غير سعودي,بيشة,الحازمى,عسير,أنثى,17
سعودي,بيشة,الحازمى,عسير,ذكر,201
غير سعودي,بيشة,الحازمى,عسير,ذكر,70
سعودي,احد المسارحة,الحازميه,جازان,أنثى,90
سعودي,احد المسارحة,الحازميه,جازان,ذكر,88
غير سعودي,احد المسارحة,الحازميه,جازان,ذكر,18
سعودي,الدوادمي,الحازميه (الرفيعه),الرياض,أنثى,42
سعودي,الدوادمي,الحازميه (الرفيعه),الرياض,ذكر,40
غير سعودي,الدوادمي,الحازميه (الرفيعه),الرياض,ذكر,3
سعودي,العرضيات,الحازميين,مكة المكرمة,أنثى,89
سعودي,العرضيات,الحازميين,مكة المكرمة,ذكر,82
غير سعودي,العرضيات,الحازميين,مكة المكرمة,ذكر,15
سعودي,وادي الفرع,الحاسمه وشبيرم,المدينة المنورة,أنثى,42
سعودي,وادي الفرع,الحاسمه وشبيرم,المدينة المنورة,ذكر,44
غير سعودي,وادي الفرع,الحاسمه وشبيرم,المدينة المنورة,ذكر,3
سعودي,الليث,الحاضر وقرضه,مكة المكرمة,ذكر,3
سعودي,ضرية,الحاضرية,القصيم,أنثى,63
سعودي,ضرية,الحاضرية,القصيم,ذكر,78
غير سعودي,ضرية,الحاضرية,القصيم,ذكر,6
