,الجنسية,المحافظة,المدينة,المنطقة,النوع,السكان
5229,سعودي,الريث,البليسة,جازان,أنثى,40
5230,سعودي,الريث,البليسة,جازان,ذكر,32
5231,سعودي,الوجة,البليطيح,تبوك,أنثى,201
5232,سعودي,الوجة,البليطيح,تبوك,ذكر,212
5233,غير سعودي,الوجة,البليطيح,تبوك,ذكر,18
5234,سعودي,هروب,البليقات,جازان,أنثى,20
5235,سعودي,هروب,البليقات,جازان,ذكر,25
5236,سعودي,بدر,البلينية,المدينة المنورة,أنثى,11
5237,سعودي,بدر,البلينية,المدينة المنورة,ذكر,22
5238,غير سعودي,بدر,البلينية,المدينة المنورة,ذكر,11
5239,سعودي,المخواة,البلينيه,الباحة,أنثى,10
5240,سعودي,المخواة,البلينيه,الباحة,ذكر,9
5241,سعودي,القنفذة,البنان,مكة المكرمة,أنثى,4
5242,سعودي,الغزالة,البنانة,حائل,أنثى,9
5243,سعودي,الغزالة,البنانة,حائل,ذكر,12
5244,سعودي,ميسان,البناه,مكة المكرمة,أنثى,82
5245,سعودي,ميسان,البناه,مكة المكرمة,ذكر,92
5246,غير سعودي,ميسان,البناه,مكة المكرمة,ذكر,17
5247,غير سعودي,الجموم,البنايه,مكة المكرمة,ذكر,4
5248,سعودي,الأسياح,البندريه,القصيم,أنثى,449
5249,غير سعودي,الأسياح,البندريه,القصيم,أنثى,6
5250,سعودي,الأسياح,البندريه,القصيم,ذكر,447
5251,غير سعودي,الأسياح,البندريه,القصيم,ذكر,29
5252,سعودي,محايل,البه,عسير,أنثى,71
5253,سعودي,محايل,البه,عسير,ذكر,84
5254,سعودي,الريث,البهر الأسفل,جازان,أنثى,3
5255,سعودي,العارضة,البهره,جازان,أنثى,18
5256,سعودي,العارضة,البهره,جازان,ذكر,17
5257,غير سعودي,العارضة,البهره,جازان,ذكر,4
5258,سعودي,العرضيات,البهمه,مكة المكرمة,أنثى,219
5259,سعودي,العرضيات,البهمه,مكة المكرمة,ذكر,195
5260,غير سعودي,العرضيات,البهمه,مكة المكرمة,ذكر,10
5261,سعودي,محايل,البهيراء,عسير,أنثى,56
5262,سعودي,محايل,البهيراء,عسير,ذكر,66
5263,سعودي,خليص,البهيره,مكة المكرمة,أنثى,48
5264,سعودي,خليص,البهيره,مكة المكرمة,ذكر,67
5265,غير سعودي,خليص,البهيره,مكة المكرمة,ذكر,15
5266,سعودي,الطائف,البهيم,مكة المكرمة,أنثى,18
5267,سعودي,الطائف,البهيم,مكة المكرمة,ذكر,15
5268,غير سعودي,الطائف,البهيم,مكة المكرمة,ذكر,3
5269,سعودي,بيشة,البهيم (الحصن),عسير,أنثى,158
5270,غير سعودي,بيشة,البهيم (الحصن),عسير,أنثى,4
5271,سعودي,بيشة,البهيم (الحصن),عسير,ذكر,166
5272,غير سعودي,بيشة,البهيم (الحصن),عسير,ذكر,19
5273,غير سعودي,العقيق,البهيم الأعلي,الباحة,ذكر,3
5274,غير سعودي,بيشة,البهيماالسفلى,عسير,ذكر,9
5275,سعودي,بيشة,البهيماالعليا,عسير,أنثى,8
5276,سعودي,بيشة,البهيماالعليا,عسير,ذكر,9
5277,غير سعودي,بيشة,البهيماالعليا,عسير,ذكر,3
5278,سعودي,ابها (مقر الإمارة),البهيمه والفايح,عسير,أنثى,122
5279,غير سعودي,ابها (مقر الإمارة),البهيمه والفايح,عسير,أنثى,8
5280,سعودي,ابها (مقر الإمارة),البهيمه والفايح,عسير,ذكر,110
5281,غير سعودي,ابها (مقر الإمارة),البهيمه والفايح,عسير,ذكر,195
5282,سعودي,محايل,البو,عسير,أنثى,18
5283,سعودي,الطائف,البو,مكة المكرمة,أنثى,12
5284,سعودي,ميسان,البو,مكة المكرمة,أنثى,75
5285,سعودي,محايل,البو,عسير,ذكر,16
5286,غير سعودي,محايل,البو,عسير,ذكر,5
5287,سعودي,الطائف,البو,مكة المكرمة,ذكر,9
5288,سعودي,ميسان,البو,مكة المكرمة,ذكر,84
5289,غير سعودي,ميسان,البو,مكة المكرمة,ذكر,14
5290,سعودي,العيص,البوادي,المدينة المنورة,أنثى,40
5291,سعودي,العيص,البوادي,المدينة المنورة,ذكر,39
5292,سعودي,الدوادمي,البواردى,الرياض,أنثى,6
5293,سعودي,الدوادمي,البواردى,الرياض,ذكر,8
5294,سعودي,القنفذة,البوازله,مكة المكرمة,أنثى,196
5295,سعودي,القنفذة,البوازله,مكة المكرمة,ذكر,176
5296,غير سعودي,القنفذة,البوازله,مكة المكرمة,ذكر,9
5297,سعودي,أضم,البواطن,مكة المكرمة,أنثى,7
5298,سعودي,أضم,البواطن,مكة المكرمة,ذكر,4
5299,سعودي,املج,البوانه,تبوك,أنثى,247
5300,سعودي,الدائر,البوانه,جازان,أنثى,18
5301,سعودي,العرضيات,البوانه,مكة المكرمة,أنثى,70
5302,سعودي,املج,البوانه,تبوك,ذكر,200
5303,غير سعودي,املج,البوانه,تبوك,ذكر,7
5304,سعودي,الدائر,البوانه,جازان,ذكر,15
5305,سعودي,العرضيات,البوانه,مكة المكرمة,ذكر,72
5306,غير سعودي,العرضيات,البوانه,مكة المكرمة,ذكر,6
5307,سعودي,موقق,البوبهية,حائل,ذكر,5
5308,سعودي,القرى,البوره,الباحة,أنثى,26
5309,سعودي,القرى,البوره,الباحة,ذكر,17
5310,غير سعودي,القرى,البوره,الباحة,ذكر,3
5311,سعودي,الرين,البوق,الرياض,أنثى,14
5312,سعودي,الرين,البوق,الرياض,ذكر,9
5313,غير سعودي,الرين,البوق,الرياض,ذكر,6
5314,سعودي,الرين,البوق والنفيد,الرياض,أنثى,37
5315,غير سعودي,الرين,البوق والنفيد,الرياض,أنثى,3
5316,سعودي,الرين,البوق والنفيد,الرياض,ذكر,38
5317,غير سعودي,الرين,البوق والنفيد,الرياض,ذكر,6
5318,سعودي,الحائط,البويب,حائل,أنثى,18
5319,سعودي,الحائط,البويب,حائل,ذكر,20
5320,غير سعودي,الحائط,البويب,حائل,ذكر,5
5321,سعودي,قرية العليا,البويبيات,المنطقة الشرقية,أنثى,48
5322,سعودي,قرية العليا,البويبيات,المنطقة الشرقية,ذكر,55
5323,غير سعودي,قرية العليا,البويبيات,المنطقة الشرقية,ذكر,4
5324,سعودي,محايل,البوية,عسير,أنثى,97
5325,سعودي,محايل,البوية,عسير,ذكر,112
5326,غير سعودي,محايل,البوية,عسير,ذكر,142
5327,سعودي,المدينة المنورة (مقر الامارة),البوير,المدينة المنورة,أنثى,76
5328,سعودي,المدينة المنورة (مقر الامارة),البوير,المدينة المنورة,ذكر,96
5329,غير سعودي,المدينة المنورة (مقر الامارة),البوير,المدينة المنورة,ذكر,24
5330,سعودي,ينبع,البويرات (بروات),المدينة المنورة,أنثى,10
5331,سعودي,ينبع,البويرات (بروات),المدينة المنورة,ذكر,17
5332,سعودي,حريملاء,البويرده,الرياض,أنثى,5
5333,سعودي,حريملاء,البويرده,الرياض,ذكر,6
5334,سعودي,أضم,البويرك,مكة المكرمة,أنثى,12
5335,سعودي,أضم,البويرك,مكة المكرمة,ذكر,12
5336,سعودي,قلوة,البويره,الباحة,أنثى,10
5337,سعودي,العيدابي,البويره,جازان,أنثى,97
5338,غير سعودي,العيدابي,البويره,جازان,أنثى,9
5339,سعودي,الطائف,البويره,مكة المكرمة,أنثى,34
5340,سعودي,الليث,البويره,مكة المكرمة,أنثى,13
5341,سعودي,قلوة,البويره,الباحة,ذكر,8
5342,سعودي,العيدابي,البويره,جازان,ذكر,77
5343,غير سعودي,العيدابي,البويره,جازان,ذكر,17
5344,سعودي,الطائف,البويره,مكة المكرمة,ذكر,23
5345,سعودي,الليث,البويره,مكة المكرمة,ذكر,6
5346,سعودي,بدر,البويطن,المدينة المنورة,أنثى,30
5347,سعودي,الشملي,البويطن,حائل,أنثى,24
5348,غير سعودي,الشملي,البويطن,حائل,أنثى,7
5349,سعودي,بدر,البويطن,المدينة المنورة,ذكر,25
5350,سعودي,الشملي,البويطن,حائل,ذكر,29
5351,غير سعودي,الشملي,البويطن,حائل,ذكر,6
5352,سعودي,أضم,البوينه والشنوير,مكة المكرمة,أنثى,24
5353,سعودي,أضم,البوينه والشنوير,مكة المكرمة,ذكر,15
5354,سعودي,الحائط,البوييضة,حائل,أنثى,120
5355,سعودي,الحائط,البوييضة,حائل,ذكر,120
5356,سعودي,رابغ,البيار,مكة المكرمة,أنثى,1837
5357,غير سعودي,رابغ,البيار,مكة المكرمة,أنثى,104
5358,سعودي,رابغ,البيار,مكة المكرمة,ذكر,1901
5359,غير سعودي,رابغ,البيار,مكة المكرمة,ذكر,789
5360,سعودي,هروب,البياض,جازان,أنثى,12
5361,سعودي,محايل,البياض,عسير,أنثى,54
5362,سعودي,ثار,البياض,نجران,أنثى,81
5363,غير سعودي,ثار,البياض,نجران,أنثى,6
5364,سعودي,هروب,البياض,جازان,ذكر,12
5365,سعودي,محايل,البياض,عسير,ذكر,37
5366,غير سعودي,محايل,البياض,عسير,ذكر,3
5367,سعودي,ثار,البياض,نجران,ذكر,66
5368,سعودي,القويعية,البياضا,الرياض,أنثى,3
5369,سعودي,الحائط,البياضة,حائل,أنثى,43
5370,غير سعودي,الحائط,البياضة,حائل,أنثى,5
5371,سعودي,الحائط,البياضة,حائل,ذكر,58
5372,سعودي,فرعة غامد الزناد,البياضه (ام الهارب),الباحة,أنثى,11
5373,سعودي,فرعة غامد الزناد,البياضه (ام الهارب),الباحة,ذكر,12
5374,سعودي,الشنان,البياضي,حائل,أنثى,11
5375,سعودي,الشنان,البياضي,حائل,ذكر,13
5376,سعودي,الحجرة,البيت الجديد,الباحة,أنثى,3
5377,سعودي,الحجرة,البيت الجديد,الباحة,ذكر,3
5378,سعودي,ابها (مقر الإمارة),البيثاء والقبوله,عسير,أنثى,111
5379,غير سعودي,ابها (مقر الإمارة),البيثاء والقبوله,عسير,أنثى,19
5380,سعودي,ابها (مقر الإمارة),البيثاء والقبوله,عسير,ذكر,115
5381,غير سعودي,ابها (مقر الإمارة),البيثاء والقبوله,عسير,ذكر,53
5382,سعودي,رجال المع,البيح,عسير,أنثى,289
5383,غير سعودي,رجال المع,البيح,عسير,أنثى,19
5384,سعودي,رجال المع,البيح,عسير,ذكر,276
5385,غير سعودي,رجال المع,البيح,عسير,ذكر,192
5386,سعودي,ابها (مقر الإمارة),البيح بن ماجور,عسير,أنثى,48
5387,سعودي,ابها (مقر الإمارة),البيح بن ماجور,عسير,ذكر,41
5388,سعودي,بارق,البيداء,عسير,أنثى,92
5389,سعودي,أضم,البيداء,مكة المكرمة,أنثى,5
5390,سعودي,بارق,البيداء,عسير,ذكر,76
5391,غير سعودي,بارق,البيداء,عسير,ذكر,4
5392,سعودي,أضم,البيداء,مكة المكرمة,ذكر,4
5393,سعودي,ثادق,البير,الرياض,أنثى,100
5394,غير سعودي,ثادق,البير,الرياض,أنثى,7
5395,سعودي,الشنان,البير,حائل,أنثى,35
5396,غير سعودي,الشنان,البير,حائل,أنثى,3
5397,سعودي,ثادق,البير,الرياض,ذكر,108
5398,غير سعودي,ثادق,البير,الرياض,ذكر,51
5399,سعودي,الريث,البير,جازان,ذكر,4
5400,سعودي,الشنان,البير,حائل,ذكر,40
5401,غير سعودي,الشنان,البير,حائل,ذكر,4
5402,سعودي,قلوة,البير الخالدية,الباحة,أنثى,28
5403,سعودي,قلوة,البير الخالدية,الباحة,ذكر,22
5404,غير سعودي,قلوة,البير الخالدية,الباحة,ذكر,12
5405,سعودي,الدوادمي,البيرقات,الرياض,أنثى,5
5406,سعودي,الدوادمي,البيرقات,الرياض,ذكر,4
5407,غير سعودي,الدوادمي,البيرقات,الرياض,ذكر,24
5408,سعودي,صامطة,البيسرى,جازان,أنثى,421
5409,غير سعودي,صامطة,البيسرى,جازان,أنثى,17
5410,سعودي,صامطة,البيسرى,جازان,ذكر,403
5411,غير سعودي,صامطة,البيسرى,جازان,ذكر,36
5412,سعودي,القنفذة,البيشيه,مكة المكرمة,أنثى,62
5413,سعودي,القنفذة,البيشيه,مكة المكرمة,ذكر,50
5414,سعودي,البرك,البيض,عسير,أنثى,231
5415,غير سعودي,البرك,البيض,عسير,أنثى,14
5416,سعودي,البرك,البيض,عسير,ذكر,247
5417,غير سعودي,البرك,البيض,عسير,ذكر,190
5418,سعودي,ابو عريش,البيض الأسفل,جازان,أنثى,673
5419,غير سعودي,ابو عريش,البيض الأسفل,جازان,أنثى,350
5420,سعودي,ابو عريش,البيض الأسفل,جازان,ذكر,622
5421,غير سعودي,ابو عريش,البيض الأسفل,جازان,ذكر,415
5422,سعودي,المخواة,البيضاء,الباحة,أنثى,97
5423,غير سعودي,المخواة,البيضاء,الباحة,أنثى,4
5424,سعودي,قلوة,البيضاء,الباحة,أنثى,41
5425,غير سعودي,قلوة,البيضاء,الباحة,أنثى,5
5426,سعودي,سكاكا (مقر الامارة),البيضاء,الجوف,أنثى,130
5427,غير سعودي,سكاكا (مقر الامارة),البيضاء,الجوف,أنثى,17
5428,سعودي,الحرث,البيضاء,جازان,أنثى,113
5429,غير سعودي,الحرث,البيضاء,جازان,أنثى,11
5430,سعودي,الريث,البيضاء,جازان,أنثى,20
5431,سعودي,المجاردة,البيضاء,عسير,أنثى,89
5432,سعودي,بارق,البيضاء,عسير,أنثى,95
5433,غير سعودي,بارق,البيضاء,عسير,أنثى,7
5434,سعودي,بحرة,البيضاء,مكة المكرمة,أنثى,93
5435,سعودي,المخواة,البيضاء,الباحة,ذكر,91
5436,غير سعودي,المخواة,البيضاء,الباحة,ذكر,4
5437,سعودي,قلوة,البيضاء,الباحة,ذكر,52
5438,غير سعودي,قلوة,البيضاء,الباحة,ذكر,12
5439,سعودي,سكاكا (مقر الامارة),البيضاء,الجوف,ذكر,152
5440,غير سعودي,سكاكا (مقر الامارة),البيضاء,الجوف,ذكر,47
5441,سعودي,الحرث,البيضاء,جازان,ذكر,108
5442,غير سعودي,الحرث,البيضاء,جازان,ذكر,10
5443,سعودي,الريث,البيضاء,جازان,ذكر,21
5444,سعودي,المجاردة,البيضاء,عسير,ذكر,103
5445,غير سعودي,المجاردة,البيضاء,عسير,ذكر,4
5446,سعودي,بارق,البيضاء,عسير,ذكر,84
5447,غير سعودي,بارق,البيضاء,عسير,ذكر,103
5448,سعودي,بحرة,البيضاء,مكة المكرمة,ذكر,98
5449,غير سعودي,بحرة,البيضاء,مكة المكرمة,ذكر,5
5450,سعودي,بيشة,البيضاء (الابره),عسير,أنثى,31
5451,سعودي,بيشة,البيضاء (الابره),عسير,ذكر,21
5452,غير سعودي,بيشة,البيضاء (الابره),عسير,ذكر,5
5453,سعودي,خليص,البيضاء الغربية,مكة المكرمة,أنثى,12
5454,سعودي,خليص,البيضاء الغربية,مكة المكرمة,ذكر,12
5455,سعودي,المندق,البيضاني,الباحة,أنثى,19
5456,سعودي,المندق,البيضاني,الباحة,ذكر,11
5457,غير سعودي,المندق,البيضاني,الباحة,ذكر,22
5458,سعودي,الدوادمي,البيضه,الرياض,أنثى,4
5459,سعودي,الدوادمي,البيضه,الرياض,ذكر,3
5460,سعودي,القنفذة,البيضين,مكة المكرمة,أنثى,940
5461,غير سعودي,القنفذة,البيضين,مكة المكرمة,أنثى,37
5462,سعودي,القنفذة,البيضين,مكة المكرمة,ذكر,931
5463,غير سعودي,القنفذة,البيضين,مكة المكرمة,ذكر,119
5464,سعودي,احد المسارحة,البيطاريه,جازان,أنثى,1749
5465,غير سعودي,احد المسارحة,البيطاريه,جازان,أنثى,518
5466,سعودي,احد المسارحة,البيطاريه,جازان,ذكر,1675
5467,غير سعودي,احد المسارحة,البيطاريه,جازان,ذكر,832
5468,سعودي,المخواة,البيطيره,الباحة,أنثى,6
5469,سعودي,المخواة,البيطيره,الباحة,ذكر,4
5470,سعودي,العارضة,البيناء  وادي الروغ,جازان,أنثى,18
5471,سعودي,العارضة,البيناء  وادي الروغ,جازان,ذكر,20
5472,غير سعودي,العارضة,البيناء  وادي الروغ,جازان,ذكر,21
5473,سعودي,القويعية,البينه,الرياض,أنثى,41
5474,سعودي,القويعية,البينه,الرياض,ذكر,30
5475,غير سعودي,القويعية,البينه,الرياض,ذكر,13
5476,سعودي,الرين,البييرات,الرياض,أنثى,3
5477,سعودي,العيص,البييرات,المدينة المنورة,أنثى,39
5478,غير سعودي,العيص,البييرات,المدينة المنورة,أنثى,3
5479,سعودي,الرين,البييرات,الرياض,ذكر,4
5480,سعودي,العيص,البييرات,المدينة المنورة,ذكر,45
5481,غير سعودي,العيص,البييرات,المدينة المنورة,ذكر,3
5482,سعودي,الدرب,التحليه,جازان,أنثى,583
5483,غير سعودي,الدرب,التحليه,جازان,أنثى,95
5484,سعودي,الدرب,التحليه,جازان,ذكر,600
5485,غير سعودي,الدرب,التحليه,جازان,ذكر,296
5486,سعودي,الليث,التخبرة,مكة المكرمة,أنثى,4
5487,سعودي,الليث,التخبرة,مكة المكرمة,ذكر,4
5488,سعودي,العارضة,التدادغ,جازان,أنثى,11
5489,سعودي,العارضة,التدادغ,جازان,ذكر,16
5490,سعودي,حائل(مقر الامارة),التربية,حائل,أنثى,272
5491,غير سعودي,حائل(مقر الامارة),التربية,حائل,أنثى,27
5492,سعودي,حائل(مقر الامارة),التربية,حائل,ذكر,290
5493,غير سعودي,حائل(مقر الامارة),التربية,حائل,ذكر,481
5494,سعودي,فرعة غامد الزناد,الترس,الباحة,أنثى,14
5495,سعودي,فرعة غامد الزناد,الترس,الباحة,ذكر,14
5496,سعودي,ابها (مقر الإمارة),التري,عسير,ذكر,5
5497,سعودي,الدوادمي,التسرير,الرياض,أنثى,45
5498,سعودي,الدوادمي,التسرير,الرياض,ذكر,52
5499,غير سعودي,الدوادمي,التسرير,الرياض,ذكر,5
5500,سعودي,العارضة,التشام,جازان,أنثى,10
5501,سعودي,العارضة,التشام,جازان,ذكر,9
5502,سعودي,الكامل,التلعه,مكة المكرمة,أنثى,22
5503,سعودي,الكامل,التلعه,مكة المكرمة,ذكر,27
5504,غير سعودي,الكامل,التلعه,مكة المكرمة,ذكر,3
5505,سعودي,الليث,التلعين,مكة المكرمة,أنثى,9
5506,سعودي,الليث,التلعين,مكة المكرمة,ذكر,8
5507,سعودي,رابغ,التنضبيه,مكة المكرمة,أنثى,244
5508,سعودي,رابغ,التنضبيه,مكة المكرمة,ذكر,242
5509,غير سعودي,رابغ,التنضبيه,مكة المكرمة,ذكر,57
5510,سعودي,الأسياح,التنومه,القصيم,أنثى,683
5511,غير سعودي,الأسياح,التنومه,القصيم,أنثى,70
5512,سعودي,الأسياح,التنومه,القصيم,ذكر,630
5513,غير سعودي,الأسياح,التنومه,القصيم,ذكر,274
5514,سعودي,عفيف,التنيبيكيه,الرياض,أنثى,132
5515,سعودي,عفيف,التنيبيكيه,الرياض,ذكر,162
5516,غير سعودي,عفيف,التنيبيكيه,الرياض,ذكر,28
5517,سعودي,الاحساء,التهيميه,المنطقة الشرقية,أنثى,400
5518,غير سعودي,الاحساء,التهيميه,المنطقة الشرقية,أنثى,11
5519,سعودي,الاحساء,التهيميه,المنطقة الشرقية,ذكر,383
5520,غير سعودي,الاحساء,التهيميه,المنطقة الشرقية,ذكر,35
5521,سعودي,فيفا,التوامتين,جازان,أنثى,22
5522,سعودي,فيفا,التوامتين,جازان,ذكر,14
5523,سعودي,القطيف,التوبى,المنطقة الشرقية,أنثى,3651
5524,غير سعودي,القطيف,التوبى,المنطقة الشرقية,أنثى,77
5525,سعودي,القطيف,التوبى,المنطقة الشرقية,ذكر,3735
5526,غير سعودي,القطيف,التوبى,المنطقة الشرقية,ذكر,1338
5527,سعودي,الطائف,التوته,مكة المكرمة,أنثى,16
5528,سعودي,الطائف,التوته,مكة المكرمة,ذكر,12
5529,غير سعودي,الطائف,التوته,مكة المكرمة,ذكر,4
5530,سعودي,هروب,التوره,جازان,أنثى,47
5531,سعودي,هروب,التوره,جازان,ذكر,55
5532,غير سعودي,هروب,التوره,جازان,ذكر,13
5533,سعودي,الخرج,التوضيحيه,الرياض,أنثى,15
5534,سعودي,الخرج,التوضيحيه,الرياض,ذكر,15
5535,غير سعودي,الخرج,التوضيحيه,الرياض,ذكر,15
5536,سعودي,ميسان,التومه,مكة المكرمة,أنثى,5
5537,سعودي,الاحساء,التويثير,المنطقة الشرقية,أنثى,4499
5538,غير سعودي,الاحساء,التويثير,المنطقة الشرقية,أنثى,166
5539,سعودي,الاحساء,التويثير,المنطقة الشرقية,ذكر,4450
5540,غير سعودي,الاحساء,التويثير,المنطقة الشرقية,ذكر,585
5541,سعودي,الطائف,التويلبه,مكة المكرمة,أنثى,3
5542,سعودي,المجمعة,التويم,الرياض,أنثى,618
5543,غير سعودي,المجمعة,التويم,الرياض,أنثى,67
5544,سعودي,المجمعة,التويم,الرياض,ذكر,555
5545,غير سعودي,المجمعة,التويم,الرياض,ذكر,231
5546,غير سعودي,وادى الدواسر,التيس,الرياض,ذكر,3
5547,غير سعودي,حائل(مقر الامارة),التيم,حائل,ذكر,10
5548,سعودي,سراة عبيدة,الثافره,عسير,أنثى,6
5549,سعودي,سراة عبيدة,الثافره,عسير,ذكر,12
5550,سعودي,الدوادمي,الثامرية,الرياض,أنثى,14
5551,سعودي,عفيف,الثامرية,الرياض,أنثى,34
5552,سعودي,الدوادمي,الثامرية,الرياض,ذكر,12
5553,غير سعودي,الدوادمي,الثامرية,الرياض,ذكر,3
5554,سعودي,عفيف,الثامرية,الرياض,ذكر,34
5555,غير سعودي,عفيف,الثامرية,الرياض,ذكر,28
5556,سعودي,الدوادمي,الثامريه,الرياض,أنثى,140
5557,سعودي,بريدة (مقرالامارة),الثامريه,القصيم,أنثى,795
5558,غير سعودي,بريدة (مقرالامارة),الثامريه,القصيم,أنثى,69
5559,سعودي,الدوادمي,الثامريه,الرياض,ذكر,122
5560,غير سعودي,الدوادمي,الثامريه,الرياض,ذكر,5
5561,سعودي,القويعية,الثامريه,الرياض,ذكر,4
5562,سعودي,بريدة (مقرالامارة),الثامريه,القصيم,ذكر,756
5563,غير سعودي,بريدة (مقرالامارة),الثامريه,القصيم,ذكر,150
5564,سعودي,الدائر,الثاهر,جازان,أنثى,92
5565,سعودي,الدائر,الثاهر,جازان,ذكر,96
5566,سعودي,الدائر,الثاهره,جازان,أنثى,67
5567,سعودي,الدائر,الثاهره,جازان,ذكر,60
5568,سعودي,هروب,الثاهرين,جازان,أنثى,70
5569,سعودي,هروب,الثاهرين,جازان,ذكر,59
5570,سعودي,القنفذة,الثايه,مكة المكرمة,ذكر,3
5571,غير سعودي,القنفذة,الثايه,مكة المكرمة,ذكر,8
5572,سعودي,الدائر,الثبجة,جازان,أنثى,15
5573,سعودي,الدائر,الثبجة,جازان,ذكر,16
5574,سعودي,وادي الفرع,الثبره و دريبس,المدينة المنورة,أنثى,17
5575,سعودي,وادي الفرع,الثبره و دريبس,المدينة المنورة,ذكر,18
5576,سعودي,الدائر,الثبيت,جازان,أنثى,26
5577,سعودي,الدائر,الثبيت,جازان,ذكر,33
5578,سعودي,القرى,الثراوين,الباحة,أنثى,50
5579,غير سعودي,القرى,الثراوين,الباحة,أنثى,4
5580,سعودي,القرى,الثراوين,الباحة,ذكر,44
5581,غير سعودي,القرى,الثراوين,الباحة,ذكر,10
5582,سعودي,العيدابي,الثركه,جازان,أنثى,6
5583,سعودي,العيدابي,الثركه,جازان,ذكر,4
5584,سعودي,نجران (مقر الامارة),الثرماله,نجران,أنثى,14
5585,سعودي,نجران (مقر الامارة),الثرماله,نجران,ذكر,12
5586,سعودي,ميسان,الثرمان,مكة المكرمة,أنثى,72
5587,سعودي,ميسان,الثرمان,مكة المكرمة,ذكر,71
5588,سعودي,بحرة,الثرياء (الضعن),مكة المكرمة,أنثى,18
5589,سعودي,بحرة,الثرياء (الضعن),مكة المكرمة,ذكر,22
5590,سعودي,القنفذة,الثعالبه,مكة المكرمة,أنثى,51
5591,سعودي,القنفذة,الثعالبه,مكة المكرمة,ذكر,47
5592,غير سعودي,القنفذة,الثعالبه,مكة المكرمة,ذكر,65
5593,سعودي,العرضيات,الثعب,مكة المكرمة,أنثى,81
5594,سعودي,العرضيات,الثعب,مكة المكرمة,ذكر,67
5595,غير سعودي,العرضيات,الثعب,مكة المكرمة,ذكر,8
5596,سعودي,قلوة,الثعبان,الباحة,أنثى,21
5597,سعودي,قلوة,الثعبان,الباحة,ذكر,12
5598,غير سعودي,قلوة,الثعبان,الباحة,ذكر,4
5599,سعودي,عفيف,الثعل,الرياض,ذكر,4
5600,سعودي,سراة عبيدة,الثعلبه,عسير,أنثى,17
5601,سعودي,سراة عبيدة,الثعلبه,عسير,ذكر,18
5602,سعودي,المدينة المنورة (مقر الامارة),الثعلة,المدينة المنورة,ذكر,20
5603,سعودي,أضم,الثعوب,مكة المكرمة,أنثى,50
5604,سعودي,أضم,الثعوب,مكة المكرمة,ذكر,40
5605,سعودي,خميس  مشيط,الثعيلبه,عسير,أنثى,25
5606,سعودي,خميس  مشيط,الثعيلبه,عسير,ذكر,26
5607,غير سعودي,خميس  مشيط,الثعيلبه,عسير,ذكر,14
5608,سعودي,هروب,الثغن,جازان,أنثى,70
5609,سعودي,هروب,الثغن,جازان,ذكر,58
5610,سعودي,النبهانية,الثغيب,القصيم,أنثى,41
5611,سعودي,النبهانية,الثغيب,القصيم,ذكر,53
5612,سعودي,خميس  مشيط,الثفراء,عسير,أنثى,122
5613,غير سعودي,خميس  مشيط,الثفراء,عسير,أنثى,4
5614,سعودي,خميس  مشيط,الثفراء,عسير,ذكر,102
5615,غير سعودي,خميس  مشيط,الثفراء,عسير,ذكر,15
5616,سعودي,الخبر,الثقبه,المنطقة الشرقية,أنثى,31622
5617,غير سعودي,الخبر,الثقبه,المنطقة الشرقية,أنثى,28213
5618,سعودي,الخبر,الثقبه,المنطقة الشرقية,ذكر,35333
5619,غير سعودي,الخبر,الثقبه,المنطقة الشرقية,ذكر,153720
5620,سعودي,فرعة غامد الزناد,الثقفيه,الباحة,أنثى,6
5621,سعودي,فرعة غامد الزناد,الثقفيه,الباحة,ذكر,5
5622,سعودي,الليث,الثكامه السفلى,مكة المكرمة,أنثى,28
5623,سعودي,الليث,الثكامه السفلى,مكة المكرمة,ذكر,18
5624,سعودي,العيدابي,الثلابه,جازان,أنثى,39
5625,سعودي,العيدابي,الثلابه,جازان,ذكر,45
5626,غير سعودي,العيدابي,الثلابه,جازان,ذكر,3
5627,سعودي,مرات,الثليماء,الرياض,أنثى,31
5628,سعودي,مرات,الثليماء,الرياض,ذكر,22
5629,غير سعودي,مرات,الثليماء,الرياض,ذكر,7
5630,سعودي,الدوادمي,الثماله,الرياض,أنثى,26
5631,سعودي,بارق,الثماله,عسير,أنثى,121
5632,غير سعودي,بارق,الثماله,عسير,أنثى,13
5633,سعودي,الدوادمي,الثماله,الرياض,ذكر,19
5634,غير سعودي,الدوادمي,الثماله,الرياض,ذكر,5
5635,سعودي,بارق,الثماله,عسير,ذكر,139
5636,غير سعودي,بارق,الثماله,عسير,ذكر,30
5637,سعودي,الليث,الثمام,مكة المكرمة,أنثى,6
5638,سعودي,الليث,الثمام,مكة المكرمة,ذكر,6
5639,سعودي,بقيق,الثمامه,المنطقة الشرقية,أنثى,49
5640,غير سعودي,بقيق,الثمامه,المنطقة الشرقية,أنثى,4
5641,سعودي,بقيق,الثمامه,المنطقة الشرقية,ذكر,42
5642,غير سعودي,بقيق,الثمامه,المنطقة الشرقية,ذكر,6
5643,سعودي,بدر,الثمامى,المدينة المنورة,أنثى,3
5644,سعودي,السليمي,الثمامية,حائل,أنثى,673
5645,غير سعودي,السليمي,الثمامية,حائل,أنثى,15
5646,سعودي,السليمي,الثمامية,حائل,ذكر,700
5647,غير سعودي,السليمي,الثمامية,حائل,ذكر,118
5648,سعودي,الدوادمي,الثماميه,الرياض,أنثى,26
